,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26
407,0,1,2,3,4,2,1,3,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,0,3,0,1,6,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1
408,0,0,0,2,2,0,2,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
409,0,0,1,0,3,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,2,1,2,1,3,5,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0
410,0,0,0,2,2,0,2,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1
411,0,1,2,3,4,2,1,3,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,0,3,0,1,6,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
412,0,0,0,1,0,3,3,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,0,0,2,4,5,5,7,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1
413,0,1,1,0,1,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,3,0,3,6,4,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0
414,0,0,0,1,0,3,3,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,0,2,4,5,5,7,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
415,0,0,0,2,2,0,2,5,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
416,0,0,0,2,3,5,5,7,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,0,3,4,2,3,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1
417,0,1,2,3,3,5,5,3,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,0,3,4,2,6,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0
418,0,1,1,0,1,4,4,4,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,3,0,3,6,4,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1
419,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1
420,0,0,0,2,2,0,3,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,2,4,5,5,7,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0
421,0,0,0,2,2,0,3,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,2,4,5,5,7,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
422,0,1,2,3,4,2,1,3,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,5,0,1,1,0,3,0,1,6,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
423,0,1,1,0,3,1,0,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,2,1,2,1,3,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0
424,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1
425,0,1,1,0,3,1,0,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,2,1,2,1,3,5,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0
426,0,0,0,2,2,0,3,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,2,4,5,5,7,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0
427,0,0,0,2,2,0,3,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,2,4,5,5,7,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
428,0,1,2,3,3,5,5,7,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,1,0,3,4,2,3,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0
429,0,0,0,2,2,0,2,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0
430,0,0,0,2,3,5,5,7,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,1,0,3,4,2,3,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
431,0,1,2,3,4,2,1,3,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,0,3,0,1,6,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
432,0,1,2,3,4,2,1,3,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,1,0,3,0,1,6,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
433,0,0,0,1,0,3,3,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,0,0,2,4,5,5,7,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
434,0,0,0,1,0,1,6,6,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,2,1,2,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
435,0,1,2,3,4,2,1,1,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,3,0,0,1,2,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
436,0,0,0,1,0,3,6,6,-1,1,1,1,1,0,0,0,0,0,0,0,0,3,2,6,2,0,0,2,1,4,5,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0
437,0,0,0,2,0,3,3,7,12,0,0,0,0,0,0,0,0,0,0,1,0,4,2,3,2,0,1,1,0,3,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0
438,0,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,1,3,0,0,1,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
439,0,1,2,3,4,5,5,3,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,0,3,0,1,6,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0
440,0,0,0,1,3,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,2,1,2,1,3,5,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
441,0,0,0,2,3,5,5,7,4,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,7,0,1,1,0,3,4,2,3,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1
442,0,1,1,0,3,1,0,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,2,1,2,1,3,5,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1
443,0,1,2,3,3,5,5,3,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,0,3,4,2,6,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0
444,0,1,2,3,4,5,5,3,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,0,3,0,1,6,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
445,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1
446,0,1,2,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,3,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
447,0,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,1,3,0,0,1,2,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0
448,0,1,2,3,3,5,5,7,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,1,1,0,3,4,2,3,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
449,0,0,0,1,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,2,1,2,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0
450,0,0,0,1,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,2,1,2,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1
451,0,0,0,2,2,0,2,5,-1,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
452,0,1,1,0,1,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,3,0,3,6,2,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
453,0,1,1,0,3,1,0,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,2,1,2,1,3,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0
454,0,0,0,2,3,5,5,7,4,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,1,0,3,4,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0
455,0,0,0,2,2,0,2,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1
456,0,0,0,1,0,3,3,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,0,2,4,5,5,7,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1
457,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0
458,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
459,0,1,1,0,1,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,3,0,3,6,4,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0
460,0,1,2,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,3,0,0,1,2,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
461,0,0,0,1,0,3,6,6,-1,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,0,2,1,4,5,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0
462,0,1,2,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,3,0,0,1,2,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1
463,0,0,0,2,2,0,3,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,2,4,5,5,7,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1
464,0,1,2,3,4,2,1,1,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,0,3,0,1,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0
465,0,0,0,1,0,3,6,6,2,1,1,1,1,0,0,0,0,0,0,1,0,3,2,6,2,0,0,2,1,4,5,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0
466,0,0,0,1,0,3,3,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,0,2,4,5,5,7,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
467,0,1,2,3,4,5,5,3,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,0,3,4,2,6,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
468,0,1,1,0,1,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,3,0,3,6,2,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0
469,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1
470,0,0,0,1,0,3,6,6,2,1,1,1,1,0,0,0,0,0,0,1,0,3,2,6,2,0,0,2,1,4,5,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0
471,0,1,2,3,4,2,1,1,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,3,0,0,1,2,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
472,0,0,0,2,2,0,2,5,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,0,0,2,4,5,5,7,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1
473,0,0,0,2,2,0,3,2,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,2,4,5,5,7,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
474,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1
475,0,0,0,2,2,0,2,5,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1
476,0,1,1,0,1,4,4,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,3,0,1,1,3,0,3,6,2,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
477,0,0,0,2,2,0,2,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1
478,0,0,0,2,2,0,2,5,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,0,2,1,2,4,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1
479,0,1,1,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,1,3,0,0,1,2,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0
480,0,0,0,1,0,3,6,6,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,0,2,1,4,5,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
481,0,0,0,1,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,2,1,2,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
482,0,1,2,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,1,3,0,0,1,2,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1
483,0,1,2,3,3,5,5,7,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,1,0,3,4,2,3,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1
484,0,0,0,2,3,5,5,7,4,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,7,0,1,1,0,3,4,2,3,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1
485,0,1,2,3,4,2,1,1,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,1,0,3,0,1,6,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1
486,0,0,0,1,0,3,3,2,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,0,2,4,5,5,7,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
487,0,0,0,1,0,3,3,2,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1
488,0,0,0,1,0,1,6,6,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,2,1,2,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
489,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0
490,0,1,1,0,3,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,2,1,2,1,3,5,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
491,0,0,0,1,0,3,6,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,2,1,4,5,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1
492,0,1,2,3,4,2,1,3,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,1,0,3,0,1,6,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
493,0,0,0,1,3,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,2,1,2,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0
494,0,1,1,0,1,4,4,4,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,3,0,3,6,4,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0
495,0,0,0,2,3,5,5,7,4,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,7,0,1,1,0,3,4,2,3,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1
496,0,0,1,1,3,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,2,1,2,1,3,5,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1
497,0,1,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,1,3,0,0,1,2,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1
498,0,0,2,2,3,5,5,7,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,1,0,3,4,2,3,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1
499,0,1,1,0,1,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,1,3,0,3,6,4,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0
