,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57,random_model_n58,random_model_n59,random_model_n60,random_model_n61,random_model_n62,random_model_n63,random_model_n64
56,0,1,1,1,0,0,5,0,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,2,1,3,5,0,0,0,0,3,1,2,3,0,2,3,2,1,0,1,3,2,3,2,2,1,1,0,0,1,2,1,0,2,3,3,0,0,2,1,2,0,3,0,0,2,1,2,3,0,1,3,0,3,3,3,3,2,2,0,0,0,2,1,3,0,0,0,2,1,3,2,3
57,0,0,2,2,1,5,6,7,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,0,0,3,0,3,4,1,0,0,3,0,0,3,2,0,0,2,1,1,3,0,1,1,0,0,3,3,0,2,0,0,3,3,2,1,2,3,2,0,0,1,2,1,3,2,1,2,3,1,3,0,0,2,2,0,1,2,1,1,2,3,0,2,3,2,0,2,3,3,3,2,1,3
58,0,1,1,0,3,2,3,4,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,1,4,0,0,0,0,0,0,2,3,0,0,2,1,0,1,1,3,1,1,1,3,0,0,3,3,3,1,1,3,2,0,2,3,3,0,2,1,2,3,2,3,1,1,0,1,1,1,1,1,1,0,0,2,1,0,3,3,3,1,2,2,2,2,0,1,0,2,0,3
59,0,0,2,2,2,0,6,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,3,0,3,4,1,0,0,3,0,1,2,3,0,0,3,2,0,2,2,2,3,1,0,0,3,0,3,1,3,1,1,1,2,0,0,2,3,1,3,3,1,2,1,3,0,2,0,1,2,0,0,0,2,1,3,0,2,0,2,2,2,2,2,1,1,0,3,3,0,2,2
60,0,0,0,2,2,0,6,7,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,0,0,0,0,3,4,1,0,0,0,0,2,0,2,1,2,2,1,2,2,1,0,3,0,2,0,0,3,3,3,3,1,2,0,0,0,3,0,3,0,3,1,2,1,1,2,3,1,2,2,3,3,0,3,3,3,0,1,2,0,3,2,3,0,0,0,1,1,2,2,2,3,2
61,0,0,2,3,1,5,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,1,3,4,0,0,0,1,3,3,2,1,2,1,3,0,0,0,0,0,0,2,3,0,2,2,2,3,1,0,1,2,3,2,3,3,0,1,2,0,3,1,0,1,2,1,0,1,2,0,3,2,0,1,3,2,1,0,0,1,1,1,1,2,3,0,1,0,2,3
62,0,1,1,1,0,0,1,0,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,1,3,5,0,0,0,0,0,3,0,2,0,3,2,3,3,0,1,2,0,0,2,0,0,0,1,0,1,0,3,0,2,2,0,3,0,2,1,0,0,3,3,0,1,0,0,3,0,3,1,1,1,3,1,3,0,2,3,0,2,1,1,0,1,1,1,1,3,1,2,3
63,0,0,2,3,1,5,6,7,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,3,0,3,4,1,0,0,0,1,2,2,0,3,3,3,1,3,1,3,0,0,1,0,1,2,1,3,3,2,3,0,1,1,0,0,2,3,0,0,1,1,2,3,3,1,0,3,3,1,2,1,3,3,3,1,2,1,0,1,0,2,0,0,2,3,0,2,3,1,1,3
64,0,1,1,0,4,1,4,6,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,1,3,4,1,2,3,0,0,0,2,3,3,1,2,0,1,2,1,3,1,3,3,1,0,1,1,3,0,3,3,1,3,1,3,2,3,0,2,0,3,2,3,3,0,1,3,0,3,2,1,2,3,2,2,2,2,1,0,1,3,0,2,0,2,2,0,0,2,1,1,3,2
65,0,0,2,3,4,1,0,6,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,1,1,3,4,1,2,3,0,0,3,3,0,3,2,1,2,0,3,3,0,0,0,3,2,0,1,1,3,1,0,3,0,1,2,1,2,2,0,3,3,3,0,0,2,0,1,1,3,0,2,2,1,3,2,1,3,0,2,3,0,2,1,2,3,2,1,3,1,0,1,3,0,1
66,0,1,0,1,0,4,1,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,3,0,6,2,0,0,3,1,1,3,2,0,2,1,1,0,3,2,2,0,2,1,1,2,1,1,1,0,2,3,3,1,2,2,0,2,1,2,1,1,3,3,0,2,1,3,1,3,0,3,0,0,3,3,1,0,1,3,0,0,2,3,0,3,2,0,1,0,1,2
67,0,1,0,1,0,4,1,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,3,0,6,2,0,0,3,3,1,3,3,0,0,1,0,1,3,2,1,0,0,1,2,3,2,0,0,2,1,0,3,0,2,2,2,0,2,2,2,0,0,2,1,0,1,0,0,1,2,0,1,1,2,3,0,3,3,2,3,3,2,3,2,0,3,0,2,3,1,3
68,0,0,2,3,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,3,1,5,0,3,0,0,1,1,3,0,2,0,0,2,0,1,3,1,2,0,3,0,3,3,2,3,3,2,3,2,0,3,2,1,2,1,1,3,3,0,3,0,3,2,3,0,1,2,2,0,2,1,2,2,1,0,1,1,1,2,2,3,0,2,0,0,2,1,1,1
69,0,0,0,2,2,0,5,5,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,0,2,2,1,7,0,0,0,3,2,3,0,2,1,2,1,1,3,1,3,0,0,1,3,3,0,0,3,2,1,0,0,1,3,0,2,3,1,2,3,1,2,2,0,0,0,3,1,0,3,2,0,3,1,1,0,3,0,3,1,0,3,0,0,1,3,2,1,0,0,1
70,0,1,0,1,0,4,1,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,3,0,6,2,0,0,3,0,2,2,3,0,1,3,2,3,2,1,1,3,0,0,2,0,2,3,0,2,1,1,0,2,0,3,3,2,2,3,0,3,2,3,3,0,2,1,1,3,1,1,3,3,2,1,1,2,3,2,2,0,3,3,0,1,1,0,2,0,2,3
71,0,1,1,1,0,4,1,3,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,1,3,0,6,2,0,0,0,1,2,3,2,3,3,2,2,2,3,2,0,1,1,0,0,1,2,3,2,1,2,2,3,2,3,0,3,2,1,0,1,3,1,0,0,3,1,0,1,3,1,2,0,2,3,2,1,1,2,1,3,2,2,1,0,1,2,1,3,3,3,1
72,0,0,2,3,1,5,6,7,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,1,2,1,0,0,1,2,1,1,2,1,2,1,1,2,1,1,1,0,0,1,1,1,1,1,0,2,0,2,1,3,1,1,3,2,2,3,0,1,3,1,3,3,1,3,2,0,1,0,1,0,1,3,2,3,2,1,1,1,3,0,0,2,0,2,3,1,2,2
73,0,0,0,2,2,3,2,1,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,2,2,1,7,0,0,1,0,0,2,2,2,1,3,2,0,3,0,2,3,2,2,0,0,1,3,0,1,3,0,2,3,0,1,2,0,3,0,0,0,0,2,1,0,3,2,3,3,1,1,3,3,0,1,2,0,1,3,2,3,0,2,0,3,3,2,0,2,2,1
74,0,0,2,2,2,3,2,1,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,0,3,4,5,0,0,0,2,3,0,1,0,0,3,1,0,1,0,2,3,0,1,0,3,0,2,1,0,1,0,3,2,2,0,2,3,0,0,1,0,1,2,1,2,0,2,0,2,2,2,1,2,1,3,0,0,0,0,2,1,0,3,0,1,3,1,1,0,3,3
75,0,1,1,0,4,1,4,6,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,2,1,5,2,3,0,0,1,0,2,1,1,1,3,0,3,1,3,2,2,1,1,1,0,3,0,0,0,0,1,1,0,2,3,1,1,1,0,0,0,1,2,3,3,1,3,2,2,2,1,1,0,2,2,2,1,2,2,1,3,0,1,1,3,0,0,0,2,0,1,3
76,0,1,0,1,0,4,1,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,3,0,6,2,0,0,0,0,3,0,1,0,0,1,0,2,3,1,3,2,3,1,3,1,0,3,1,0,0,0,2,3,2,1,0,0,2,2,1,2,0,3,2,1,2,3,2,0,0,3,2,0,2,0,2,2,0,0,3,2,0,1,2,2,1,3,1,0,3,2
77,0,1,1,0,3,2,4,6,47,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,1,1,2,1,4,2,3,0,0,2,3,3,1,3,3,2,0,3,3,3,0,2,2,3,1,2,3,3,3,1,2,2,3,0,0,3,0,2,3,1,2,3,3,1,1,2,0,2,2,2,1,3,1,2,1,3,2,2,2,1,3,1,3,0,3,3,2,0,1,3,3,1,1
78,0,0,0,2,2,0,5,5,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,0,2,5,1,7,0,0,1,2,3,3,3,1,2,3,0,2,2,0,0,0,1,0,1,0,2,1,0,0,0,0,3,2,0,2,3,0,3,1,3,0,2,1,2,2,1,0,3,3,0,0,2,3,3,3,2,3,3,2,2,1,3,2,1,2,1,3,0,1,2,2
79,0,0,2,3,1,5,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,1,3,4,0,0,3,1,3,2,1,2,0,3,1,1,0,0,1,3,2,3,1,3,1,2,0,0,2,3,3,2,1,3,3,3,3,1,3,2,3,0,1,2,0,1,2,2,1,3,3,2,1,3,2,0,0,2,0,0,1,2,3,3,3,1,1,2,2,3
80,0,1,1,1,0,4,1,3,48,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,0,0,2,1,3,0,6,2,0,0,3,2,0,0,1,2,0,1,0,3,3,1,3,3,0,2,1,0,2,0,0,2,3,0,1,0,0,0,3,0,2,2,2,2,1,0,0,2,2,3,0,0,0,1,1,0,2,3,2,2,2,0,1,2,0,1,1,2,0,2,0,3,2,1
81,0,1,0,1,0,0,5,5,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,2,1,3,5,0,7,0,0,3,1,3,3,2,0,2,1,0,1,0,0,3,3,0,3,2,3,3,1,2,0,1,2,2,2,0,1,0,3,3,0,0,0,2,1,1,3,1,2,1,2,0,2,1,2,2,2,3,2,3,2,3,3,2,3,2,2,2,2,1,1,2,1
82,0,1,1,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,2,1,5,0,0,0,0,1,1,1,3,3,2,2,1,0,0,2,2,3,0,0,1,1,1,3,2,0,2,1,3,1,1,2,2,0,1,1,0,2,2,0,1,3,2,0,2,0,1,0,3,0,2,1,2,2,3,2,3,1,1,1,2,3,0,0,0,3,1,3,3
83,0,1,1,0,3,2,3,4,50,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,1,4,0,0,0,0,3,2,2,3,1,1,1,1,3,0,2,1,2,1,3,3,3,2,0,1,3,0,0,2,2,0,1,2,3,0,3,3,0,1,2,1,3,1,1,2,3,3,0,2,3,0,2,0,0,2,1,1,1,1,0,3,1,2,2,1,1,1,3,2
84,0,0,0,1,0,0,5,5,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,2,1,2,2,1,7,0,0,0,0,1,0,1,2,3,1,1,0,1,3,2,0,3,1,0,2,2,1,1,1,3,3,2,2,1,2,2,2,0,2,1,3,3,2,0,1,2,3,3,1,0,3,0,3,1,2,3,2,3,0,0,1,2,2,2,1,2,2,0,3,0,0
85,0,1,1,0,4,1,4,6,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,2,1,5,2,3,0,0,3,1,3,0,0,2,3,2,2,3,0,3,0,2,3,1,2,2,2,1,2,3,2,2,3,1,3,0,3,3,1,3,3,0,1,3,1,2,3,1,0,0,3,2,1,1,3,2,1,2,3,3,0,2,3,2,1,0,2,3,3,0,2,1
86,0,1,1,1,3,2,3,0,51,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,7,0,1,1,2,1,5,0,0,0,0,0,2,3,3,0,3,2,1,1,3,2,2,3,3,1,1,2,0,2,1,0,2,1,0,2,0,1,2,0,3,0,3,1,1,1,0,2,1,1,1,0,3,0,3,3,0,3,2,3,1,1,1,0,2,1,0,0,2,0,1,3,3,1,0
87,0,1,1,0,3,2,3,4,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,1,4,5,6,0,0,2,2,2,3,3,1,0,1,1,3,0,1,0,1,3,1,0,0,1,2,1,1,3,1,2,1,2,2,0,1,0,3,1,0,3,1,0,0,2,0,3,0,0,0,1,3,0,3,3,0,3,1,1,2,1,2,0,0,2,0,1,1,2,1
88,0,0,0,2,2,0,5,5,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,0,0,2,2,1,7,0,0,2,1,2,3,1,0,2,2,2,3,0,0,0,3,1,1,0,0,2,2,0,3,0,3,3,3,2,1,3,1,2,1,0,0,2,0,0,1,2,1,3,0,1,0,3,1,1,2,0,2,2,0,1,2,3,2,2,0,2,1,0,3,3,1
89,0,1,2,3,4,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,1,3,4,1,2,3,0,0,1,0,1,3,2,3,1,3,1,0,2,2,0,1,2,0,2,1,1,0,2,2,1,1,3,2,0,3,0,0,0,3,0,3,0,0,0,1,0,1,3,0,3,3,0,2,0,2,2,0,1,3,2,2,3,3,2,1,2,1,3,0,3,0
90,0,0,2,2,2,3,2,1,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,0,3,4,1,0,0,3,2,3,0,0,3,3,0,3,3,1,1,2,0,2,2,3,0,1,2,0,3,2,3,3,2,2,3,2,1,3,3,3,3,3,1,0,0,3,0,1,2,2,3,1,0,0,2,0,0,3,1,1,0,3,2,0,3,3,3,0,1,2,3
91,0,0,2,3,1,5,6,7,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,1,2,1,0,0,3,0,0,3,2,2,3,2,1,1,0,1,1,2,3,0,3,3,2,1,1,3,3,1,0,0,0,0,3,1,3,3,0,2,0,3,0,0,2,0,1,0,0,0,3,0,1,3,3,1,3,2,0,3,0,0,1,3,3,2,2,2,0,2
92,0,0,2,3,1,5,6,7,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,3,0,3,4,1,0,0,3,1,1,3,2,3,0,3,1,2,2,3,3,3,0,2,1,3,2,0,0,2,1,0,1,0,3,0,3,2,3,1,3,0,0,0,1,0,3,3,2,1,1,3,3,1,1,1,1,3,1,3,1,2,0,3,3,2,2,0,0,1,1,2
93,0,0,2,2,2,3,6,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,3,4,1,0,0,3,1,2,0,3,2,2,0,1,1,2,1,0,1,2,3,3,0,2,1,3,0,0,2,1,1,1,1,3,0,2,0,3,0,3,2,3,1,2,3,3,3,3,2,2,1,2,2,3,1,2,2,3,0,3,0,2,2,2,1,0,1,1,0
94,0,0,0,2,2,3,2,1,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,2,2,1,5,0,0,1,1,1,1,3,3,1,2,2,0,0,2,0,1,0,2,2,3,0,0,2,3,1,3,0,2,1,0,3,1,0,2,2,1,2,2,1,1,3,3,2,2,1,0,2,1,2,0,0,2,1,2,2,2,3,1,2,2,1,1,2,0,1,2
95,0,0,2,3,1,5,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,1,3,4,0,0,2,1,0,1,3,2,3,3,3,0,3,3,3,1,1,1,0,3,0,0,1,2,1,3,1,0,3,0,0,0,3,2,3,0,2,3,2,0,2,2,0,1,1,2,3,0,3,0,0,2,2,2,3,0,3,1,3,3,2,0,0,3,3,0
96,0,0,2,3,1,5,6,7,53,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,3,0,3,4,1,0,0,0,3,3,0,3,0,3,1,1,2,0,3,2,2,3,1,2,1,2,2,2,1,0,1,2,1,2,1,3,2,1,3,0,0,1,0,1,3,0,1,2,3,3,1,1,2,1,3,3,0,0,2,3,2,2,0,1,2,1,3,0,0,3,3
97,0,0,0,2,2,3,2,1,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,2,2,1,5,0,0,2,3,2,1,2,1,1,0,3,3,3,3,0,1,1,3,1,2,3,0,1,0,3,1,2,1,0,2,3,1,2,2,2,2,2,3,3,2,2,2,1,2,0,1,3,2,2,3,2,2,0,1,0,3,3,3,1,3,2,0,3,1,1,1
98,0,1,1,0,3,2,3,4,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,1,4,0,0,0,0,3,3,2,0,2,2,2,2,3,2,0,1,2,0,0,0,2,3,1,1,2,3,3,2,2,3,3,0,0,0,0,1,1,3,2,0,1,1,0,1,0,0,1,0,1,2,1,3,2,0,0,1,0,0,3,2,0,3,2,2,1,0,1,1
99,0,0,2,3,1,5,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,1,3,4,0,0,3,2,2,0,3,0,2,1,3,0,2,3,3,2,1,3,0,3,2,1,3,1,2,1,0,2,1,0,3,0,2,0,1,2,0,1,1,0,3,0,1,2,3,2,2,3,3,2,1,3,2,1,2,1,3,2,0,0,0,1,2,0,2,1
100,0,1,1,1,0,4,1,3,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,1,3,0,6,2,0,0,1,1,0,1,0,3,3,0,3,1,0,0,1,1,2,2,2,1,0,2,0,1,3,0,2,2,2,3,2,0,0,3,3,0,3,3,0,0,2,3,1,3,0,2,0,3,3,2,1,3,3,3,1,3,2,2,3,2,0,3,0,2,2,2
101,0,1,1,0,4,1,4,6,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,2,4,1,2,3,0,0,3,1,2,2,2,0,2,2,3,3,2,2,3,1,3,2,0,1,0,3,3,3,0,3,0,2,1,2,0,2,2,2,2,2,3,2,1,1,2,2,3,0,3,2,1,1,1,3,3,3,2,0,3,0,1,0,1,2,1,3,1,0,0,3
102,0,1,1,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,2,1,5,0,0,0,0,2,0,3,3,2,0,1,0,1,1,0,0,1,0,2,0,3,3,1,2,0,0,1,0,1,1,1,2,2,3,1,3,3,2,0,0,3,2,1,0,3,0,0,1,3,3,2,0,2,2,3,0,2,2,3,0,1,2,3,3,3,3,0,0
103,0,1,1,0,3,2,3,0,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,2,1,5,0,0,0,0,0,0,0,0,1,0,3,2,2,1,0,0,1,2,2,0,3,2,2,0,0,1,1,2,2,2,3,2,2,2,3,1,0,3,0,0,0,1,0,3,2,0,2,3,1,0,0,1,3,3,2,3,2,1,1,3,3,0,0,2,0,0,0,3
104,0,1,1,0,3,2,3,4,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,1,4,5,6,0,0,0,0,3,3,3,2,2,1,2,2,1,1,0,2,2,3,2,1,0,3,1,1,0,1,3,3,0,1,0,3,2,1,1,2,1,2,1,0,1,0,3,3,0,2,2,0,3,3,0,3,3,1,1,3,2,3,0,2,2,3,2,2,3,3
105,0,1,1,0,3,2,3,4,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,2,1,4,5,6,0,0,2,1,1,0,0,2,2,1,1,1,0,1,3,2,1,2,3,1,3,2,1,3,2,1,1,1,2,2,2,3,1,2,3,0,1,1,0,1,0,1,3,1,0,1,1,2,2,1,1,3,3,3,1,1,0,0,1,1,2,3,2,2,0,3
106,0,0,2,3,1,5,6,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,3,0,3,4,1,0,0,1,3,2,3,2,3,3,2,2,3,0,1,3,2,0,3,2,3,0,3,1,0,3,1,2,3,2,0,2,2,1,0,2,2,1,2,2,3,2,2,2,2,3,1,0,1,0,1,2,1,0,0,3,1,3,2,1,0,1,0,1,3,3,2
107,0,0,0,2,2,3,2,1,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,2,2,1,5,0,0,3,1,0,0,3,2,2,0,1,3,2,0,2,3,0,0,2,2,1,1,1,1,0,1,0,1,3,0,0,0,1,3,0,2,3,1,2,3,2,1,1,3,2,1,0,3,2,2,0,1,1,1,0,2,2,2,3,3,0,1,2,0,1,2
108,0,1,1,0,4,1,4,0,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,1,2,1,5,0,0,0,0,2,3,2,1,2,3,3,3,0,0,0,1,1,1,0,0,2,2,3,0,1,1,3,0,2,3,1,3,3,0,2,0,0,2,1,1,1,1,1,2,3,0,2,3,0,2,2,2,3,3,1,0,2,0,3,0,2,3,0,2,1,2,0,0
109,0,0,2,2,2,3,6,1,35,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,3,4,5,0,0,3,1,0,0,1,1,1,3,2,1,0,2,1,1,0,3,1,2,2,1,3,2,0,2,3,3,3,1,3,1,2,1,2,1,3,3,0,2,3,2,0,1,0,0,2,2,3,0,1,2,1,3,0,0,0,1,2,0,1,3,0,2,1,0
110,0,0,2,3,1,5,6,7,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,3,0,3,4,1,0,0,1,1,2,1,0,1,2,1,1,0,2,3,2,2,2,2,2,3,2,0,3,0,3,2,1,0,0,2,3,2,2,1,0,1,3,2,2,3,3,3,3,0,1,1,2,1,2,0,0,1,3,2,1,0,0,2,3,3,2,3,1,2,3,0
111,0,1,1,0,3,2,3,4,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,1,1,2,1,4,0,0,0,0,2,1,0,0,2,3,2,0,3,1,0,3,1,3,0,0,1,3,1,1,0,2,3,1,1,0,2,2,2,1,2,2,2,1,2,0,1,2,2,0,0,2,0,1,3,1,1,3,2,2,1,1,0,2,2,3,0,1,3,2,2,0,3,3
112,0,0,2,3,1,5,0,2,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,1,3,4,0,0,3,1,2,3,1,2,1,0,2,3,2,3,1,1,3,3,3,1,0,2,0,3,3,2,1,0,3,3,2,2,3,0,0,0,0,1,3,1,1,0,2,2,2,1,0,0,0,2,2,0,3,3,0,3,0,3,3,0,1,0,2,3,3,0
113,0,0,0,2,2,0,5,5,56,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,0,0,0,2,5,0,7,0,0,3,0,3,2,3,3,3,0,2,0,0,2,3,2,3,2,1,0,2,1,0,0,2,1,3,3,0,2,1,2,1,1,3,0,0,3,0,0,3,1,1,1,2,3,3,0,3,2,2,3,2,0,1,2,0,1,1,2,0,2,1,0,3,2
114,0,0,0,2,2,3,2,5,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,0,0,0,0,0,2,2,1,7,0,0,0,0,2,2,2,3,2,0,2,1,2,1,3,0,3,3,2,2,3,0,2,2,0,3,3,1,1,3,2,0,1,1,0,3,1,2,3,3,1,0,3,1,2,3,3,2,1,3,1,1,3,1,0,3,3,2,1,0,1,3,3,1,1,1
115,0,0,0,2,2,3,2,1,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,0,2,2,1,5,0,0,2,3,1,2,1,1,3,3,2,0,0,0,2,3,2,2,1,1,2,1,2,2,2,3,0,2,0,0,2,1,0,2,0,1,1,0,2,2,0,2,3,0,2,1,2,3,0,2,3,3,3,2,1,0,2,3,3,1,3,2,3,0,2,0
116,0,0,2,3,4,1,6,7,58,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,3,4,5,2,3,0,0,2,3,1,2,0,0,3,3,1,2,2,1,1,0,3,0,0,3,1,3,3,1,0,3,1,1,2,1,2,0,2,1,0,0,2,2,1,3,0,1,2,1,2,1,2,0,0,0,1,1,3,0,2,2,2,3,2,0,1,0,1,0,2,0
117,0,0,2,3,1,5,0,2,59,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,1,2,3,0,0,3,3,1,2,1,0,3,2,0,0,0,1,3,1,2,0,3,0,1,3,1,2,1,1,2,3,3,0,3,2,3,3,2,1,3,1,0,2,2,0,0,1,1,1,0,1,2,2,0,1,2,1,3,2,1,3,1,2,3,2,1,1,3,1
118,0,1,0,1,0,4,1,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,3,0,6,2,0,0,3,0,3,2,2,0,3,3,2,1,3,2,1,2,2,3,1,0,0,0,0,3,3,3,0,2,2,0,1,1,1,3,3,1,2,3,2,2,1,3,0,3,1,0,2,1,2,1,2,3,2,3,1,0,3,3,0,1,1,1,3,2,1,0
